id,name,state,lat,lng,population,population_growth_pct,median_weekly_household_income,median_weekly_rent,overseas_born_pct,family_households_pct,culture_1_country,culture_1_pct,culture_2_country,culture_2_pct,culture_3_country,culture_3_pct,culture_4_country,culture_4_pct,train_pct,tram_pct,bus_pct,car_pct,bicycle_pct,walked_pct,worked_from_home_pct,primary_school_drive_time,hospital_drive_time,gp_clinic_drive_time,childcare_drive_time,cluster_id,cluster_label,similar_suburbs,census_year
vic-merricks,Merricks,VIC,-38.39289546549995,145.08225540021346,184,-3.2,2750,258,18.5,67.9,Australia,81.5,England,8.2,Iraq,3.3,New Zealand,2.2,0.0,0.0,0.0,39.4,0.0,5.3,44.7,4–10 min,10–30 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Pakenham Upper; Merricks North; Macclesfield,2021
vic-merricks-beach,Merricks Beach,VIC,-38.398316000999955,145.1076777301697,157,23.6,1465,436,15.9,68.9,Australia,84.1,England,7.0,United States,3.2,,,0.0,0.0,0.0,44.3,0.0,0.0,42.6,4–10 min,10–30 min,4–10 min,4–10 min,1,More affordable incomes + Lower-rent,McCrae; Blairgowrie; Mornington,2021
vic-merricks-north,Merricks North,VIC,-38.34135335099995,145.07185988094835,423,-0.7,2416,258,22.2,81.8,Australia,77.8,England,6.4,New Zealand,2.1,Scotland,1.2,0.0,0.0,0.0,46.5,0.0,2.8,32.4,4–10 min,10–30 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Tynong North; Pakenham Upper; Tuerong,2021
vic-mickleham,Mickleham,VIC,-37.54633033299996,144.89896160542636,17452,455.4,1968,400,49.9,87.1,Australia,50.1,India,16.4,Iraq,6.6,New Zealand,2.9,1.5,0.0,0.3,64.7,0.1,0.3,15.8,2–4 min,10–30 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Cranbourne East; Cranbourne North; Wollert,2021
vic-middle-park,Middle Park,VIC,-37.85078262749997,144.9605581633867,4000,-3.5,2836,602,27.1,67.6,Australia,72.9,England,4.9,Greece,2.8,New Zealand,1.8,0.0,3.7,0.0,28.2,2.7,2.6,48.2,0–2 min,4–10 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Brighton; Clifton Hill; Albert Park,2021
vic-mill-park,Mill Park,VIC,-37.66408212799996,145.0628078508231,28712,-3.4,1735,366,39.6,78.6,Australia,60.4,India,3.3,North Macedonia,3.1,Italy,3.0,1.6,0.1,0.6,58.4,0.1,0.6,20.0,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Brookfield; Harkness; Narre Warren,2021
vic-millgrove,Millgrove,VIC,-37.74466620999996,145.65078758927478,1666,0.8,1201,305,22.0,62.6,Australia,78.0,England,4.4,New Zealand,1.1,Netherlands,0.9,0.0,0.0,0.0,65.3,0.0,1.2,11.5,2–4 min,30–90 min,4–10 min,2–4 min,1,More affordable incomes + Lower-rent,East Warburton; Hastings; Junction Village,2021
vic-mitcham,Mitcham,VIC,-37.81655609499995,145.1996875289934,16795,4.0,2030,406,35.8,71.2,Australia,64.2,China,7.9,India,3.5,England,2.3,3.3,0.0,0.6,39.7,0.4,1.3,37.1,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Blackburn; Coburg North; Moorabbin,2021
vic-monbulk,Monbulk,VIC,-37.87425787199996,145.42592212359966,3651,2.1,1722,369,19.7,76.7,Australia,80.3,England,5.8,Netherlands,2.3,New Zealand,1.2,0.6,0.0,0.5,56.3,0.0,3.3,21.2,2–4 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Somerville; Bittern; Lilydale,2021
vic-monomeith,Monomeith,VIC,-38.212594491999965,145.53228601254017,69,-4.2,1625,150,5.8,53.8,Australia,94.2,,,,,,,0.0,0.0,0.0,60.0,0.0,0.0,20.0,4–10 min,4–10 min,4–10 min,4–10 min,1,More affordable incomes + Lower-rent,Big Pats Creek; Vervale; Rythdale,2021
