id,name,state,lat,lng,population,population_growth_pct,median_weekly_household_income,median_weekly_rent,overseas_born_pct,family_households_pct,culture_1_country,culture_1_pct,culture_2_country,culture_2_pct,culture_3_country,culture_3_pct,culture_4_country,culture_4_pct,train_pct,tram_pct,bus_pct,car_pct,bicycle_pct,walked_pct,worked_from_home_pct,primary_school_drive_time,hospital_drive_time,gp_clinic_drive_time,childcare_drive_time,cluster_id,cluster_label,similar_suburbs,census_year
vic-oakleigh-east,Oakleigh East,VIC,-37.90476201799996,145.11771204686465,6804,5.6,1951,425,50.6,70.9,Australia,49.4,China,6.9,India,6.9,Greece,5.5,2.1,0.0,1.3,46.6,0.5,1.1,28.7,2–4 min,4–10 min,0–2 min,0–2 min,6,Share / non-family households + More affordable incomes,Chadstone; Box Hill North; Box Hill South,2021
vic-oakleigh-south,Oakleigh South,VIC,-37.92692164299996,145.09122540724923,9851,6.4,1915,418,49.0,75.6,Australia,51.0,India,8.1,China,6.4,Greece,5.0,2.5,0.0,1.2,46.9,0.5,1.2,28.6,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Mulgrave; Wantirna South; Balwyn,2021
vic-officer,Officer,VIC,-38.04912663449994,145.41183829004027,18503,159.4,2125,396,37.7,81.9,Australia,62.3,India,8.9,Sri Lanka,5.1,England,2.9,2.0,0.0,0.1,57.7,0.1,0.6,21.8,2–4 min,10–30 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Berwick; Mernda; Taylors Lakes,2021
vic-officer-south,Officer South,VIC,-38.10419402599996,145.42461675602152,1159,1445.3,2085,393,34.8,74.9,Australia,65.2,England,6.0,India,5.3,Sri Lanka,5.2,0.7,0.0,0.0,57.2,0.0,0.0,24.5,4–10 min,10–30 min,4–10 min,4–10 min,6,Share / non-family households + More affordable incomes,Mitcham; Blackburn North; Oak Park,2021
vic-olinda,Olinda,VIC,-37.85309134049996,145.36884884351912,1773,2.0,1995,398,23.3,74.5,Australia,76.7,England,6.4,New Zealand,1.2,South Africa,1.0,0.4,0.0,0.4,42.8,0.3,2.7,30.9,2–4 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Somers; Greensborough; Frankston South,2021
vic-ormond,Ormond,VIC,-37.90387633799995,145.03997940555007,8328,-1.1,2062,395,41.1,66.3,Australia,58.9,India,6.0,China,5.0,England,2.4,4.5,0.1,0.7,35.5,0.7,1.7,39.1,0–2 min,4–10 min,0–2 min,0–2 min,6,Share / non-family households + More affordable incomes,Murrumbeena; Hughesdale; Oakleigh,2021
vic-pakenham,Pakenham,VIC,-38.07098837199996,145.47817075484866,54118,16.6,1664,351,32.7,75.6,Australia,67.3,India,6.0,England,3.2,Sri Lanka,2.0,1.9,0.0,0.2,61.7,0.2,0.9,15.9,2–4 min,10–30 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Westmeadows; Bayswater North; Harkness,2021
vic-pakenham-south,Pakenham South,VIC,-38.139629741999954,145.5031314023088,229,6.0,1728,231,16.6,73.0,Australia,83.4,England,3.9,New Zealand,2.6,India,2.2,0.0,0.0,0.0,55.6,0.0,5.1,17.1,4–10 min,10–30 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Yannathan; Cora Lynn; Don Valley,2021
vic-pakenham-upper,Pakenham Upper,VIC,-38.00861618099995,145.50752218475782,1196,2.0,2593,255,17.1,83.6,Australia,82.9,England,4.7,New Zealand,1.3,Netherlands,1.2,0.0,0.0,0.0,57.1,0.0,0.9,25.5,4–10 min,10–30 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Smiths Gully; Merricks North; Tynong North,2021
vic-panton-hill,Panton Hill,VIC,-37.64058603899994,145.24748811075227,1063,0.1,2367,350,17.6,84.9,Australia,82.4,England,4.8,New Zealand,1.4,Germany,1.3,0.0,0.0,0.0,50.7,0.0,2.2,29.1,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Humevale; Clematis; Moorooduc,2021
vic-park-orchards,Park Orchards,VIC,-37.77563323299995,145.21158066575424,3835,0.3,3155,601,20.4,89.4,Australia,79.6,England,4.0,China,1.7,South Africa,1.1,0.5,0.0,0.4,45.5,0.0,0.1,34.1,2–4 min,4–10 min,2–4 min,2–4 min,9,Higher-income + Family-oriented,Warrandyte South; Lysterfield South; North Warrandyte,2021
vic-parkdale,Parkdale,VIC,-37.994018356499964,145.08080867470323,12308,4.8,2130,410,24.0,70.9,Australia,76.0,England,5.1,New Zealand,1.5,China,1.1,1.8,0.0,0.3,43.3,0.7,1.9,35.1,2–4 min,4–10 min,2–4 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Edithvale; Lower Plenty; Shoreham,2021
vic-parkville,Parkville,VIC,-37.78705981649995,144.9495486464122,7074,-4.5,1885,396,41.9,47.7,Australia,58.1,China,4.8,England,3.4,India,2.7,1.1,6.2,0.5,21.0,4.5,9.3,34.5,2–4 min,2–4 min,2–4 min,0–2 min,4,Share / non-family households + Culturally diverse,Balaclava; St Kilda West; Windsor,2021
vic-pascoe-vale,Pascoe Vale,VIC,-37.724851299999955,144.93584682399498,18171,6.6,2025,400,34.9,67.4,Australia,65.1,Italy,3.9,India,2.9,England,1.8,3.6,0.3,0.4,42.8,0.7,0.7,33.3,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Coburg North; Hampton East; Blackburn,2021
vic-pascoe-vale-south,Pascoe Vale South,VIC,-37.743430339999975,144.94045606022036,10534,4.6,2246,425,25.4,74.2,Australia,74.6,Italy,4.7,Greece,2.7,England,1.5,1.3,1.6,0.2,40.0,1.1,0.9,35.9,2–4 min,4–10 min,2–4 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Niddrie; Rosanna; Gowanbrae,2021
vic-patterson-lakes,Patterson Lakes,VIC,-38.067562561499955,145.14630455822896,7793,3.0,1932,430,29.3,72.2,Australia,70.7,England,4.9,China,2.5,New Zealand,1.7,0.8,0.0,0.2,55.4,0.5,0.9,24.9,2–4 min,10–30 min,2–4 min,2–4 min,6,Share / non-family households + More affordable incomes,Cheltenham; Macleod; Mitcham,2021
vic-pearcedale,Pearcedale,VIC,-38.19825126149996,145.24918381585155,3867,1.2,2009,400,15.5,83.9,Australia,84.5,England,3.7,New Zealand,1.0,Scotland,0.9,0.2,0.0,0.0,60.9,0.2,2.0,18.0,2–4 min,10–30 min,4–10 min,2–4 min,2,Predominantly Australian-born + Family-oriented,The Patch; Bayles; Wandin North,2021
vic-plenty,Plenty,VIC,-37.665395934999964,145.11263033805,2575,8.9,3190,392,17.7,89.7,Australia,82.3,England,2.7,Italy,1.9,India,1.2,0.4,0.0,0.3,55.2,0.0,0.2,26.7,2–4 min,10–30 min,2–4 min,2–4 min,9,Higher-income + Family-oriented,Kangaroo Ground; Warranwood; Research,2021
vic-plumpton,Plumpton,VIC,-37.66195031999996,144.66449384523096,79,-98.2,1812,450,41.8,105.3,Australia,58.2,Malta,10.1,New Zealand,6.3,North Macedonia,6.3,0.0,0.0,0.0,65.7,0.0,0.0,8.6,4–10 min,10–30 min,4–10 min,4–10 min,0,Culturally diverse + Family-oriented,Burnside Heights; Greenvale; Grangefields,2021
vic-point-cook,Point Cook,VIC,-37.90540415199996,144.75656807281968,66781,33.8,2392,400,56.1,86.3,Australia,43.9,India,14.9,China,6.4,New Zealand,3.7,2.1,0.0,0.3,44.9,0.3,0.7,34.1,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Derrimut; Donnybrook; Lynbrook,2021
vic-point-leo,Point Leo,VIC,-38.414071348999954,145.06891699282528,178,12.7,2094,611,13.5,84.7,Australia,86.5,England,7.3,Netherlands,3.4,,,0.0,0.0,0.0,44.8,0.0,0.0,36.8,4–10 min,10–30 min,4–10 min,4–10 min,9,Higher-income + Family-oriented,Narre Warren East; Steels Creek; Croydon Hills,2021
vic-port-melbourne,Port Melbourne,VIC,-37.83545197199996,144.9231290299741,17633,9.0,2372,540,36.3,58.6,Australia,63.7,England,4.9,New Zealand,2.5,Greece,1.7,0.2,2.2,0.8,29.7,2.6,3.9,45.7,2–4 min,4–10 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Toorak; Carlton North; Albert Park,2021
vic-portsea,Portsea,VIC,-38.32380946349994,144.70990983702853,787,54.3,2470,577,20.8,64.6,Australia,79.2,England,3.4,New Zealand,2.0,Croatia,0.8,0.0,0.0,0.0,32.0,0.0,3.3,50.5,2–4 min,10–30 min,2–4 min,2–4 min,5,Higher-income + Higher-rent,Albert Park; Clifton Hill; Carlton North,2021
vic-powelltown,Powelltown,VIC,-37.860725901999956,145.76680655196517,214,-1.4,1125,300,24.8,75.0,Australia,75.2,England,6.5,Germany,2.3,,,0.0,0.0,0.0,44.6,0.0,14.9,14.9,10–30 min,30–90 min,10–30 min,10–30 min,1,More affordable incomes + Lower-rent,Yarra Junction; Melton West; Badger Creek,2021
vic-prahran,Prahran,VIC,-37.85291388999997,145.00640084251046,12203,-6.0,2121,421,36.5,44.2,Australia,63.5,England,4.6,New Zealand,3.2,Greece,2.7,3.3,3.9,0.2,24.0,1.6,6.5,45.5,2–4 min,2–4 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Windsor; Abbotsford; Collingwood,2021
vic-preston,Preston,VIC,-37.74174206199996,145.00702707358317,33790,2.9,1844,392,36.2,62.0,Australia,63.8,China,3.0,Italy,3.0,Greece,2.8,2.5,2.0,0.9,35.7,2.2,2.0,35.4,0–2 min,4–10 min,0–2 min,0–2 min,6,Share / non-family households + More affordable incomes,Heidelberg Heights; Altona; Mentone,2021
vic-princes-hill,Princes Hill,VIC,-37.781929426999966,144.96670820410517,2005,-5.7,2218,462,26.8,57.1,Australia,73.2,England,3.3,New Zealand,1.9,Italy,1.5,0.0,4.6,0.5,21.6,6.2,5.8,46.1,0–2 min,2–4 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Northcote; Fitzroy North; Elsternwick,2021
vic-quandong,Quandong,VIC,-37.83559837599995,144.5080368079825,5,,4750,310,-20.0,,Australia,120.0,,,,,,,,,,,,,,4–10 min,10–30 min,10–30 min,10–30 min,,,,2021
vic-ravenhall,Ravenhall,VIC,-37.773378487999935,144.73752416807673,2295,98.4,966,1500,24.1,50.0,Australia,75.9,Vietnam,3.2,New Zealand,3.0,China,1.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,4–10 min,10–30 min,4–10 min,2–4 min,7,Higher-rent + More affordable incomes,,2021
vic-red-hill,Red Hill,VIC,-38.361931009499955,145.01322740962993,1009,9.2,2344,461,17.7,82.4,Australia,82.3,England,4.8,New Zealand,1.6,Germany,0.8,0.0,0.0,0.0,44.2,0.6,3.5,37.2,4–10 min,10–30 min,4–10 min,4–10 min,9,Higher-income + Family-oriented,Belgrave South; Eltham; Diamond Creek,2021
vic-red-hill-south,Red Hill South,VIC,-38.38373365499996,145.0420393452771,708,17.4,2261,500,23.7,75.2,Australia,76.3,England,5.4,New Zealand,1.4,South Africa,0.8,0.0,0.0,0.0,40.7,0.0,0.9,38.9,4–10 min,10–30 min,4–10 min,4–10 min,5,Higher-income + Higher-rent,Black Rock; Essendon West; Williamstown,2021
vic-reefton,Reefton,VIC,-37.67304453799997,145.9040296951539,102,72.9,850,,31.4,66.7,Australia,68.6,England,3.9,,,,,0.0,0.0,0.0,65.4,0.0,0.0,26.9,10–30 min,30–90 min,10–30 min,10–30 min,,,,2021
vic-research,Research,VIC,-37.70600276749997,145.1943079185719,2695,1.7,2876,431,15.5,85.2,Australia,84.5,England,4.2,Scotland,1.1,Italy,1.0,1.4,0.0,0.3,47.1,0.0,1.0,31.8,4–10 min,10–30 min,4–10 min,2–4 min,9,Higher-income + Family-oriented,Warranwood; Kangaroo Ground; Wonga Park,2021
vic-reservoir,Reservoir,VIC,-37.71238083599994,145.00226720310332,51096,1.2,1541,360,41.0,64.0,Australia,59.0,Italy,5.5,India,3.7,China,3.1,3.5,0.6,0.9,45.7,1.0,0.9,27.7,0–2 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Tullamarine; Ringwood; Hadfield,2021
vic-richmond,Richmond,VIC,-37.822111415999956,145.00254380909467,28587,3.2,2245,441,35.3,49.7,Australia,64.7,Vietnam,4.3,England,3.7,New Zealand,2.9,2.5,4.1,0.2,24.3,2.5,6.6,45.9,2–4 min,2–4 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Fitzroy; Abbotsford; Brunswick,2021
vic-ringwood,Ringwood,VIC,-37.80990575649997,145.22841392657614,19144,9.6,1654,381,39.1,65.4,Australia,60.9,China,7.3,India,3.2,England,2.9,2.8,0.0,0.9,45.7,0.2,1.8,29.8,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Bayswater; Reservoir; Hadfield,2021
vic-ringwood-east,Ringwood East,VIC,-37.81224842749995,145.24841679294568,10764,4.9,1817,380,30.5,68.8,Australia,69.5,China,5.0,England,3.1,Myanmar,3.0,2.2,0.0,0.3,45.7,0.4,1.4,31.9,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Altona; Mentone; Carrum Downs,2021
vic-ringwood-north,Ringwood North,VIC,-37.792138095999974,145.2335010432585,9964,1.3,2335,436,24.4,82.9,Australia,75.6,China,3.8,England,3.3,Malaysia,1.3,1.0,0.0,0.4,45.1,0.2,0.8,34.0,2–4 min,4–10 min,2–4 min,0–2 min,9,Higher-income + Family-oriented,Eltham; Belgrave South; Cranbourne South,2021
vic-ripponlea,Ripponlea,VIC,-37.87898540499995,144.99578794713005,1532,-2.8,2023,391,33.6,55.0,Australia,66.4,England,4.5,India,2.3,New Zealand,2.3,6.2,1.6,0.4,26.1,1.5,2.6,41.4,2–4 min,4–10 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Hawthorn; St Kilda East; Armadale,2021
vic-rockbank,Rockbank,VIC,-37.73512532099997,144.6554058678654,2583,68.2,1781,360,52.1,71.3,Australia,47.9,India,18.3,Philippines,2.6,New Zealand,2.3,3.2,0.0,0.2,55.9,0.0,0.4,19.3,2–4 min,10–30 min,4–10 min,0–2 min,3,Culturally diverse + More affordable incomes,Glenroy; Sunshine; Clarinda,2021
vic-rosanna,Rosanna,VIC,-37.73976948999996,145.06988915515353,8616,1.4,2213,421,28.5,72.5,Australia,71.5,China,3.2,Italy,3.2,India,2.8,3.6,0.0,0.3,37.2,0.4,2.0,40.2,2–4 min,4–10 min,2–4 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Pascoe Vale South; Niddrie; Parkdale,2021
vic-rosebud,Rosebud,VIC,-38.37075949599995,144.9159895206179,14381,9.0,1183,350,24.0,63.9,Australia,76.0,England,5.7,New Zealand,1.3,Italy,1.0,0.1,0.0,0.3,59.7,0.2,1.0,15.6,2–4 min,4–10 min,4–10 min,2–4 min,1,More affordable incomes + Lower-rent,Hastings; Tootgarook; Dromana,2021
vic-rowville,Rowville,VIC,-37.92586969699997,145.23638672255515,33571,-0.3,2205,441,37.1,83.3,Australia,62.9,China,4.8,Sri Lanka,3.5,India,3.2,0.5,0.0,0.5,56.0,0.1,0.4,25.6,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Taylors Lakes; Donvale; Officer,2021
vic-roxburgh-park,Roxburgh Park,VIC,-37.625808132999964,144.92631712079356,24129,10.6,1629,390,55.3,87.6,Australia,44.7,Iraq,17.2,Turkey,5.5,Lebanon,2.6,2.2,0.0,0.5,62.3,0.1,0.3,15.3,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Craigieburn; Endeavour Hills; Cobblebank,2021
vic-rye,Rye,VIC,-38.38693633799994,144.81189286687945,9438,12.1,1334,372,24.6,66.9,Australia,75.4,England,3.9,Italy,1.8,New Zealand,1.3,0.0,0.0,0.4,53.4,0.4,1.3,21.8,4–10 min,10–30 min,4–10 min,4–10 min,1,More affordable incomes + Lower-rent,Dromana; Tootgarook; Mornington,2021
vic-rythdale,Rythdale,VIC,-38.14084671499995,145.46192691104272,33,-13.2,1125,272,0.0,61.5,Australia,100.0,,,,,,,0.0,0.0,0.0,45.5,0.0,0.0,13.6,4–10 min,10–30 min,4–10 min,4–10 min,1,More affordable incomes + Lower-rent,Vervale; Big Pats Creek; Millgrove,2021
vic-safety-beach,Safety Beach,VIC,-38.31597088199996,145.0009433951328,6328,31.3,1468,460,27.0,71.7,Australia,73.0,England,7.6,New Zealand,1.6,Italy,1.5,0.2,0.0,0.5,55.6,0.2,0.8,23.1,4–10 min,10–30 min,2–4 min,4–10 min,6,Share / non-family households + More affordable incomes,Sorrento; Kilsyth; Mount Cottrell,2021
vic-sandhurst,Sandhurst,VIC,-38.08147283599996,145.2107746550664,5211,4.6,2714,530,33.0,89.1,Australia,67.0,England,5.9,South Africa,4.7,India,2.7,0.4,0.0,0.2,52.0,0.4,0.6,30.9,4–10 min,10–30 min,4–10 min,2–4 min,9,Higher-income + Family-oriented,Mount Eliza; Warrandyte; Eltham North,2021
vic-sandringham,Sandringham,VIC,-37.95375883699998,145.01417049484604,10926,6.7,2313,460,29.8,68.1,Australia,70.2,England,7.2,New Zealand,1.9,South Africa,1.4,2.5,0.0,0.3,33.9,0.9,2.3,43.5,2–4 min,2–4 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Seddon; Ivanhoe; Yarraville,2021
vic-sassafras,Sassafras,VIC,-37.864235878499954,145.35286392430646,970,-8.6,2147,410,23.2,82.7,Australia,76.8,England,7.3,New Zealand,1.1,South Africa,0.9,1.3,0.0,0.0,44.1,0.0,1.1,31.3,2–4 min,10–30 min,4–10 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Doreen; Croydon North; Watsonia North,2021
vic-scoresby,Scoresby,VIC,-37.905222135999935,145.21861533836926,6066,0.7,1965,406,43.3,79.7,Australia,56.7,China,6.1,India,5.3,Sri Lanka,4.5,0.7,0.0,1.0,56.0,0.2,0.8,23.5,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Wantirna; Vermont; Caroline Springs,2021
vic-seabrook,Seabrook,VIC,-37.88081035849996,144.75822042114638,4952,-3.4,2042,361,42.4,82.2,Australia,57.6,India,9.4,China,3.9,England,2.2,2.6,0.0,0.4,47.9,0.2,0.6,28.9,2–4 min,4–10 min,2–4 min,0–2 min,0,Culturally diverse + Family-oriented,Mernda; Cranbourne West; Caroline Springs,2021
vic-seaford,Seaford,VIC,-38.10617111499997,145.14233860584642,17215,4.6,1500,351,25.8,62.9,Australia,74.2,England,5.0,New Zealand,2.3,Scotland,0.8,1.5,0.0,0.5,55.0,0.5,0.9,22.9,2–4 min,4–10 min,2–4 min,0–2 min,1,More affordable incomes + Lower-rent,Frankston; Rye; Dromana,2021
vic-seaholme,Seaholme,VIC,-37.86449984999996,144.84446623700399,2067,7.2,2145,451,29.3,76.9,Australia,70.7,England,4.7,New Zealand,1.9,Malta,1.7,2.6,0.0,0.7,47.9,0.5,1.3,33.7,0–2 min,4–10 min,0–2 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Gowanbrae; Dingley Village; Viewbank,2021
vic-seddon,Seddon,VIC,-37.80668075799997,144.89197718358116,5143,0.4,2471,460,29.5,67.2,Australia,70.5,Vietnam,3.8,England,3.1,New Zealand,2.9,5.2,0.2,0.4,25.6,1.9,2.4,47.1,2–4 min,4–10 min,2–4 min,0–2 min,5,Higher-income + Higher-rent,Yarraville; Glen Iris; Sandringham,2021
vic-selby,Selby,VIC,-37.91766431699995,145.380618049065,1626,-1.6,2282,400,18.6,82.8,Australia,81.4,England,5.8,New Zealand,1.0,United States,1.0,0.7,0.0,0.9,46.9,0.0,0.8,29.9,2–4 min,10–30 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Upwey; Beaconsfield; Clematis,2021
vic-seville,Seville,VIC,-37.79800102349995,145.48763473247806,2559,7.6,2144,369,14.0,83.1,Australia,86.0,England,3.8,New Zealand,0.9,Netherlands,0.7,0.2,0.0,0.4,60.6,0.4,1.9,18.2,2–4 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Clematis; Mount Evelyn; Hoddles Creek,2021
vic-seville-east,Seville East,VIC,-37.782590374999955,145.49887133151162,837,5.0,1968,363,16.4,81.8,Australia,83.6,England,4.5,Netherlands,1.7,New Zealand,0.8,0.0,0.0,0.0,61.2,0.0,1.3,15.1,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Wandin North; Coldstream; Chum Creek,2021
vic-sherbrooke,Sherbrooke,VIC,-37.890413335999966,145.3595990209049,294,10.9,2408,355,24.5,76.4,Australia,75.5,England,5.4,Germany,1.7,New Zealand,1.7,0.0,0.0,0.0,51.8,0.0,2.2,29.9,2–4 min,10–30 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Christmas Hills; Ferny Creek; Beaconsfield,2021
vic-shoreham,Shoreham,VIC,-38.42686034099995,145.03633297708797,679,11.7,2012,421,22.1,70.2,Australia,77.9,England,7.2,New Zealand,1.9,Netherlands,1.5,0.0,0.0,0.0,43.9,0.0,0.0,40.7,10–30 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Edithvale; Parkdale; Briar Hill,2021
vic-silvan,Silvan,VIC,-37.83198637299998,145.44134235288732,1323,6.2,2158,350,18.8,81.7,Australia,81.2,England,3.4,Netherlands,3.1,Italy,2.0,0.0,0.0,0.0,55.3,0.0,5.5,22.9,4–10 min,10–30 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Hoddles Creek; St Andrews; Moorooduc,2021
vic-skye,Skye,VIC,-38.10474649999995,145.21529993333155,8088,-0.1,2004,410,24.5,80.9,Australia,75.5,England,4.5,New Zealand,2.3,India,1.6,0.5,0.0,0.2,63.7,0.2,0.6,15.7,2–4 min,10–30 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Watsonia North; Mooroolbark; Keilor,2021
vic-smiths-gully,Smiths Gully,VIC,-37.62872936249997,145.28965589954484,356,-3.5,2468,278,16.0,86.2,Australia,84.0,England,3.1,New Zealand,1.7,United States,1.4,0.0,0.0,0.0,45.0,0.0,1.4,33.0,4–10 min,30–90 min,4–10 min,4–10 min,8,Lower-rent + Predominantly Australian-born,Pakenham Upper; Hmas Cerberus; Merricks North,2021
vic-somers,Somers,VIC,-38.381079116999956,145.1520883170191,1857,11.4,1906,391,23.0,74.6,Australia,77.0,England,6.0,New Zealand,1.7,Germany,1.1,0.0,0.0,0.0,47.6,1.1,3.5,26.9,2–4 min,10–30 min,4–10 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Olinda; Croydon South; Briar Hill,2021
vic-somerton,Somerton,VIC,-37.63365607599994,144.9475445160618,6,,1187,115,16.7,,Australia,83.3,,,,,,,0.0,0.0,0.0,50.0,0.0,0.0,0.0,4–10 min,4–10 min,4–10 min,4–10 min,,,,2021
vic-somerville,Somerville,VIC,-38.23152757149995,145.20371772334755,11767,3.8,1781,380,18.6,74.8,Australia,81.4,England,6.9,New Zealand,1.2,Scotland,0.9,0.3,0.0,0.1,62.6,0.2,1.3,16.5,2–4 min,10–30 min,2–4 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Lilydale; Monbulk; Tyabb,2021
vic-sorrento,Sorrento,VIC,-38.343733510999954,144.74008824391746,2013,26.4,1658,462,23.4,66.5,Australia,76.6,England,4.0,Italy,1.5,New Zealand,1.3,0.8,0.0,0.8,38.7,1.1,4.2,36.0,4–10 min,10–30 min,4–10 min,4–10 min,6,Share / non-family households + More affordable incomes,Safety Beach; Carrum; Airport West,2021
vic-south-kingsville,South Kingsville,VIC,-37.83016783649995,144.8709984320936,2156,10.7,2261,381,30.8,65.8,Australia,69.2,England,3.0,New Zealand,2.5,India,2.3,1.7,0.0,0.3,40.5,0.6,1.3,41.1,2–4 min,4–10 min,0–2 min,0–2 min,6,Share / non-family households + More affordable incomes,Ascot Vale; Kingsville; Essendon,2021
vic-south-melbourne,South Melbourne,VIC,-37.83394763749993,144.96063287185174,11548,5.8,2101,421,41.0,51.1,Australia,59.0,England,4.8,New Zealand,2.7,China,2.6,0.6,5.7,0.2,20.8,2.3,8.7,46.9,2–4 min,4–10 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Abbotsford; Collingwood; Fitzroy,2021
vic-south-morang,South Morang,VIC,-37.63731342099996,145.08597896820987,24989,3.9,2078,390,34.2,82.4,Australia,65.8,India,6.5,Italy,2.4,North Macedonia,2.4,2.0,0.0,0.6,57.5,0.1,0.4,20.8,2–4 min,10–30 min,2–4 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Hillside (Melton - Vic.); Tremont; Fingal,2021
vic-south-wharf,South Wharf,VIC,-37.825364046999965,144.95219201692063,71,-33.0,2874,622,62.0,87.0,Australia,38.0,Afghanistan,23.9,South Korea,7.0,China,4.2,0.0,0.0,0.0,44.4,0.0,0.0,44.4,4–10 min,4–10 min,4–10 min,0–2 min,0,Culturally diverse + Family-oriented,Balwyn North; Williams Landing; Templestowe,2021
vic-south-yarra,South Yarra,VIC,-37.83832980449998,144.99149312211188,25028,-0.5,2063,415,44.3,42.3,Australia,55.7,England,4.4,China,4.4,New Zealand,3.1,5.5,2.6,0.3,20.4,1.9,7.8,47.1,4–10 min,4–10 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Collingwood; Windsor; Prahran,2021
vic-southbank,Southbank,VIC,-37.825320127499964,144.96381081773927,22631,21.0,1926,411,66.7,44.2,Australia,33.3,India,9.4,China,8.9,Malaysia,3.7,2.9,8.4,0.4,15.1,1.5,12.9,40.6,4–10 min,4–10 min,0–2 min,0–2 min,4,Share / non-family households + Culturally diverse,Docklands; West Melbourne; North Melbourne,2021
vic-spotswood,Spotswood,VIC,-37.83064136249996,144.88688923916249,2820,8.3,2460,456,26.8,71.9,Australia,73.2,England,3.1,New Zealand,2.4,India,2.3,3.1,0.0,0.3,37.5,1.0,1.3,40.6,2–4 min,4–10 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Williamstown; Yarraville; Surrey Hills,2021
vic-springvale,Springvale,VIC,-37.943731929999956,145.16326967224546,22174,2.1,1402,357,71.1,71.3,Australia,28.9,Vietnam,20.9,India,7.4,Cambodia,5.6,3.2,0.0,1.9,58.2,0.3,2.1,13.2,2–4 min,4–10 min,0–2 min,0–2 min,3,Culturally diverse + More affordable incomes,Noble Park; St Albans; Clayton South,2021
vic-springvale-south,Springvale South,VIC,-37.97143444099996,145.14875985621848,12766,-0.0,1498,351,63.6,78.8,Australia,36.4,Vietnam,20.0,Cambodia,15.4,India,3.2,1.3,0.0,1.2,65.3,0.1,0.6,11.1,2–4 min,10–30 min,2–4 min,0–2 min,3,Culturally diverse + More affordable incomes,Hampton Park; Hallam; Deer Park,2021
vic-st-albans,St Albans,VIC,-37.74880236149997,144.81195466405632,38042,2.0,1205,325,67.5,71.5,Australia,32.5,Vietnam,21.5,India,5.8,Philippines,3.0,5.7,0.1,0.7,58.2,0.2,1.0,12.0,2–4 min,4–10 min,0–2 min,0–2 min,3,Culturally diverse + More affordable incomes,Noble Park; Dandenong; Doveton,2021
vic-st-andrews,St Andrews,VIC,-37.579429860999966,145.28584308728682,1186,-3.3,2216,340,20.9,82.2,Australia,79.1,England,4.3,New Zealand,1.3,Netherlands,0.8,0.0,0.0,0.0,54.3,0.0,1.2,26.9,4–10 min,30–90 min,4–10 min,4–10 min,2,Predominantly Australian-born + Family-oriented,Silvan; Moorooduc; Yallambie,2021
